iso3,country,region,subregion,disaggregation,disagg.value,section,Calcium_2016,Fruit_2016,Legumes_2016,Milk_2016,Nuts and seeds_2016,Omega 3_2016,Polyunsaturated fat_2016,Processed meat_2016,Red meat_2016,Salt_2016,Saturated fat_2016,Sugar-sweetened beverages_2016,Trans fat_2016,Vegetables_2016,Whole grain_2016
CHE,Switzerland,Europe,Western Europe,location,National,Dietary needs,0.83,114.38,7.09,174.37,6.56,0.05,0.04,6.44,53.39,4.2,0.11,111.42,0.01,120.23,31.88
CHE,Switzerland,Europe,Western Europe,location,Regional,Dietary needs,0.75,100.7,14.28,132.75,2.98,0.07,0.05,7.26,41.63,3.93,0.09,98.03,0,181.38,25.29
CHL,Chile,Latin America and the Caribbean,South America,location,National,Dietary needs,0.43,119.72,23.13,45.39,1.89,0.1,0.06,21.32,50.78,4,0.07,63.81,0,211.92,11.5
CHL,Chile,Latin America and the Caribbean,South America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
CHN,China,Asia,Eastern Asia,location,National,Dietary needs,0.43,112.91,18.15,22.08,1.94,0.04,0.06,1.36,42.13,7.05,0.08,74.53,0,276.79,43.24
CHN,China,Asia,Eastern Asia,location,Regional,Dietary needs,0.38,100.68,48.24,36.09,2.18,0.12,0.05,1.55,22.37,5.21,0.07,84.22,0,225.45,61.09
CIV,CÃ´te dâ€™Ivoire,Africa,Western Africa,location,National,Dietary needs,0.24,107.64,26.64,7.9,5.92,0.01,0.01,0.92,4.08,2.7,0.07,81.58,0,80.08,23.36
CIV,CÃ´te dâ€™Ivoire,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
CMR,Cameroon,Africa,Middle Africa,location,National,Dietary needs,0.29,147.71,131.3,12.99,2.89,0.02,0.01,0.97,8.86,2.7,0.06,80.5,0,175.3,30.7
CMR,Cameroon,Africa,Middle Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
COD,Democratic Republic of the Congo,Africa,Middle Africa,location,National,Dietary needs,0.15,41.19,29.51,8.79,0.16,0.01,0.01,0.35,6.47,3.35,0.07,96.49,0,33.11,37.75
COD,Democratic Republic of the Congo,Africa,Middle Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
COG,Congo,Africa,Middle Africa,location,National,Dietary needs,0.2,85.93,32.98,13.13,0.1,0.03,0.03,0.86,5.38,3.35,0.09,91.45,0,73.32,34.14
COG,Congo,Africa,Middle Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
COL,Colombia,Latin America and the Caribbean,South America,location,National,Dietary needs,0.45,125.39,46.39,88.52,0.09,0.08,0.06,1.58,27.36,4.18,0.09,285.13,0,90.6,159.11
COL,Colombia,Latin America and the Caribbean,South America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
COM,Comoros,Africa,Eastern Africa,location,National,Dietary needs,0.17,44.55,52.29,17.17,0.56,0.03,0.01,0.48,6.93,2.6,0.18,96.23,0,47.98,27.96
COM,Comoros,Africa,Eastern Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
CPV,Cabo Verde,Africa,Western Africa,location,National,Dietary needs,0.54,102.78,51,112.8,3.82,0.05,0.12,1.22,25.71,2.7,0.08,96.29,0,129.69,21.36
CPV,Cabo Verde,Africa,Western Africa,location,Regional,Dietary needs,0.31,89.42,64.68,28.01,2.36,0.03,0.03,0.85,10.17,3.1,0.06,88.37,0,129.82,31.1
CRI,Costa Rica,Latin America and the Caribbean,Central America,location,National,Dietary needs,0.59,160.42,66.2,87.1,0.8,0.07,0.08,1.68,22.52,3.62,0.09,314.82,0.01,89.51,155.8
CRI,Costa Rica,Latin America and the Caribbean,Central America,location,Regional,Dietary needs,0.51,145.12,53.74,78.76,0.98,0.09,0.08,3.65,39.86,3.67,0.08,204.37,0.01,109.36,123.31
